"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","2,021.69","2,041.71","2,045.94","2,020.88","37.31M","-1.06%"
"08/28/2025","2,043.27","2,074.61","2,076.70","2,024.17","34.67M","-1.28%"
"08/27/2025","2,069.74","2,077.29","2,091.04","2,060.83","40.19M","-0.33%"
"08/26/2025","2,076.57","2,104.62","2,104.62","2,063.63","78.14M","-1.87%"
"08/25/2025","2,116.10","2,108.94","2,126.99","2,106.77","72.34M","0.58%"
"08/22/2025","2,103.93","2,103.64","2,108.87","2,098.62","31.94M","0.33%"
"08/21/2025","2,097.07","2,095.21","2,105.39","2,091.07","30.00M","-0.01%"
"08/20/2025","2,097.22","2,090.82","2,102.17","2,083.38","28.22M","0.06%"
"08/19/2025","2,095.94","2,092.26","2,105.44","2,089.61","39.09M","0.17%"
"08/18/2025","2,092.32","2,126.74","2,132.89","2,088.97","37.03M","-1.59%"
"08/14/2025","2,126.18","2,124.07","2,135.29","2,120.37","29.23M","0.12%"
"08/13/2025","2,123.71","2,113.68","2,125.22","2,103.42","26.88M","0.67%"
"08/12/2025","2,109.66","2,110.72","2,121.60","2,102.28","30.95M","0.16%"
"08/11/2025","2,106.24","2,073.07","2,106.25","2,073.07","30.67M","1.74%"
"08/08/2025","2,070.13","2,066.91","2,076.77","2,060.46","27.65M","0.13%"
"08/07/2025","2,067.41","2,041.01","2,070.08","2,038.97","33.07M","1.38%"
"08/06/2025","2,039.35","2,033.68","2,039.35","2,012.58","38.31M","0.23%"
"08/05/2025","2,034.65","2,012.44","2,034.67","2,005.96","39.69M","1.43%"
"08/04/2025","2,005.97","1,964.99","2,006.10","1,964.99","47.08M","2.34%"
"08/01/2025","1,960.06","1,985.32","1,985.32","1,948.51","56.71M","-1.73%"
"07/31/2025","1,994.63","1,980.65","1,995.26","1,974.86","36.29M","0.89%"
"07/30/2025","1,976.98","1,978.31","1,978.31","1,963.77","34.43M","0.07%"
"07/29/2025","1,975.56","1,951.60","1,975.56","1,951.44","26.82M","1.30%"
"07/28/2025","1,950.12","1,985.78","1,988.14","1,950.11","25.06M","-0.94%"
"07/25/2025","1,968.72","1,969.65","1,976.98","1,955.35","26.65M","-0.08%"
"07/24/2025","1,970.24","1,978.07","1,984.77","1,967.20","34.66M","0.16%"
"07/23/2025","1,967.02","1,964.28","1,988.46","1,961.17","50.97M","0.57%"
"07/22/2025","1,955.83","1,969.23","1,969.23","1,948.08","35.46M","-0.74%"
"07/21/2025","1,970.41","1,983.98","1,984.67","1,967.30","28.07M","-0.76%"
"07/18/2025","1,985.52","1,985.98","1,990.90","1,979.66","34.03M","0.18%"
"07/17/2025","1,982.01","1,960.04","1,984.87","1,960.04","48.32M","1.20%"
"07/16/2025","1,958.56","1,961.38","1,967.39","1,952.25","38.01M","-0.12%"
"07/15/2025","1,960.90","1,961.53","1,968.03","1,954.95","42.24M","0.38%"
"07/14/2025","1,953.48","1,947.75","1,954.21","1,938.35","33.74M","-0.34%"
"07/11/2025","1,960.17","1,965.14","1,965.14","1,954.36","35.80M","-0.44%"
"07/10/2025","1,968.74","1,960.39","1,973.15","1,960.39","41.83M","0.34%"
"07/09/2025","1,962.04","1,949.50","1,971.15","1,943.49","50.64M","0.78%"
"07/08/2025","1,946.88","1,917.71","1,946.88","1,914.79","59.90M","1.44%"
"07/07/2025","1,919.22","1,916.75","1,922.93","1,906.54","24.66M","0.06%"
"07/04/2025","1,918.09","1,912.56","1,922.16","1,907.12","32.04M","0.15%"
"07/03/2025","1,915.24","1,896.95","1,915.31","1,892.29","47.02M","1.12%"
"07/02/2025","1,893.97","1,888.73","1,897.11","1,883.02","63.73M","0.47%"
"07/01/2025","1,885.04","1,874.56","1,887.70","1,865.52","48.33M","0.91%"
"06/30/2025","1,868.02","1,883.11","1,883.26","1,864.36","33.01M","-0.48%"
"06/27/2025","1,877.03","1,888.63","1,894.70","1,871.32","23.59M","-0.31%"
"06/26/2025","1,882.83","1,867.40","1,890.40","1,867.40","34.71M","0.62%"
"06/25/2025","1,871.22","1,872.96","1,873.21","1,859.51","28.07M","0.20%"
"06/24/2025","1,867.57","1,840.94","1,868.96","1,840.94","66.53M","2.68%"
"06/23/2025","1,818.82","1,790.69","1,818.88","1,784.28","26.82M","0.93%"
"06/20/2025","1,802.06","1,784.80","1,803.03","1,783.62","49.44M","1.27%"
"06/19/2025","1,779.43","1,791.22","1,806.93","1,777.93","33.77M","-1.25%"
"06/18/2025","1,801.93","1,814.37","1,826.11","1,787.90","32.65M","-0.81%"
"06/17/2025","1,816.69","1,821.17","1,822.90","1,814.28","24.09M","-0.97%"
"06/16/2025","1,834.40","1,825.88","1,845.47","1,825.88","27.40M","-0.05%"
"06/13/2025","1,835.40","1,824.06","1,835.50","1,811.30","51.63M","-1.06%"
"06/12/2025","1,854.98","1,858.95","1,860.02","1,845.89","27.77M","-0.66%"
"06/11/2025","1,867.24","1,857.41","1,867.43","1,848.58","29.17M","0.62%"
"06/10/2025","1,855.73","1,846.14","1,855.73","1,835.34","30.25M","0.70%"
"06/06/2025","1,842.83","1,839.19","1,842.90","1,833.40","23.18M","0.20%"
"06/05/2025","1,839.22","1,835.66","1,839.35","1,828.40","40.15M","0.23%"
"06/04/2025","1,834.94","1,832.69","1,836.89","1,827.69","36.81M","0.57%"
"06/03/2025","1,824.48","1,815.11","1,828.72","1,810.46","31.30M","0.14%"
"06/02/2025","1,822.00","1,829.65","1,847.24","1,813.17","31.79M","-0.50%"
"05/30/2025","1,831.17","1,857.16","1,861.00","1,831.17","108.33M","-1.50%"
"05/29/2025","1,859.13","1,877.88","1,877.88","1,858.80","37.02M","-0.92%"
"05/28/2025","1,876.42","1,861.93","1,879.23","1,861.14","103.78M","1.42%"
"05/27/2025","1,850.13","1,834.34","1,850.27","1,832.52","33.55M","0.85%"
"05/26/2025","1,834.56","1,818.00","1,836.96","1,818.00","20.58M","1.79%"
"05/23/2025","1,802.34","1,828.79","1,837.13","1,777.61","43.31M","-1.42%"
"05/22/2025","1,828.31","1,825.71","1,836.51","1,819.88","32.29M","-0.41%"
"05/21/2025","1,835.79","1,825.74","1,835.79","1,808.06","40.12M","0.45%"
"05/20/2025","1,827.51","1,812.93","1,831.71","1,806.06","39.07M","0.93%"
"05/19/2025","1,810.72","1,800.86","1,811.26","1,796.02","30.29M","0.37%"
"05/16/2025","1,804.06","1,793.50","1,804.11","1,787.44","29.08M","1.02%"
"05/15/2025","1,785.84","1,787.92","1,793.83","1,784.99","32.45M","-0.29%"
"05/14/2025","1,790.99","1,784.52","1,791.68","1,780.99","31.55M","0.14%"
"05/13/2025","1,788.57","1,773.99","1,788.61","1,767.29","37.83M","0.77%"
"05/12/2025","1,774.96","1,761.41","1,780.76","1,761.41","43.18M","1.40%"
"05/09/2025","1,750.48","1,727.60","1,752.25","1,727.01","54.27M","1.70%"
"05/08/2025","1,721.16","1,732.38","1,736.05","1,720.09","24.98M","-0.36%"
"05/07/2025","1,727.32","1,717.74","1,727.56","1,714.16","28.33M","0.65%"
"05/06/2025","1,716.22","1,731.39","1,732.69","1,712.52","26.05M","-0.87%"
"05/05/2025","1,731.36","1,725.48","1,732.36","1,718.65","18.90M","0.30%"
"05/02/2025","1,726.13","1,714.03","1,726.13","1,711.74","37.77M","1.65%"
"04/30/2025","1,698.19","1,713.35","1,723.57","1,690.99","35.68M","-0.67%"
"04/29/2025","1,709.63","1,702.47","1,711.28","1,699.31","31.40M","0.46%"
"04/28/2025","1,701.84","1,712.22","1,714.39","1,700.95","20.68M","-0.22%"
"04/25/2025","1,705.61","1,708.32","1,717.53","1,701.51","21.49M","0.00%"
"04/24/2025","1,705.63","1,699.54","1,708.21","1,695.09","24.75M","0.07%"
"04/23/2025","1,704.47","1,689.15","1,704.49","1,689.15","28.79M","1.93%"
"04/22/2025","1,672.13","1,644.55","1,672.19","1,644.55","28.51M","1.82%"
"04/17/2025","1,642.17","1,654.07","1,656.04","1,639.82","18.92M","-0.79%"
"04/16/2025","1,655.23","1,647.43","1,655.51","1,638.13","23.85M","-0.08%"
"04/15/2025","1,656.48","1,633.06","1,656.48","1,633.06","28.88M","1.89%"
"04/14/2025","1,625.77","1,595.17","1,626.05","1,595.17","32.07M","2.73%"
"04/11/2025","1,582.59","1,581.05","1,594.82","1,557.53","43.88M","0.01%"
"04/10/2025","1,582.40","1,528.89","1,653.24","1,528.89","75.14M","3.54%"
"04/09/2025","1,528.34","1,552.29","1,552.29","1,496.42","56.36M","-2.69%"
"04/08/2025","1,570.53","1,504.97","1,581.99","1,504.97","68.70M","6.19%"
"04/07/2025","1,478.92","1,597.43","1,597.43","1,455.08","90.46M","-7.43%"
"04/04/2025","1,597.55","1,663.51","1,664.93","1,578.52","86.64M","-4.83%"
"04/03/2025","1,678.70","1,689.57","1,712.13","1,676.28","43.31M","-1.77%"
"04/02/2025","1,708.89","1,705.11","1,710.47","1,690.65","27.17M","0.62%"
"04/01/2025","1,698.34","1,690.18","1,709.88","1,689.92","31.65M","0.78%"
"03/31/2025","1,685.24","1,718.52","1,718.52","1,680.73","50.61M","-2.91%"
"03/28/2025","1,735.68","1,742.42","1,749.90","1,734.04","34.43M","-0.60%"
"03/27/2025","1,746.18","1,738.17","1,749.55","1,734.03","39.38M","-0.03%"
"03/26/2025","1,746.67","1,730.47","1,749.35","1,729.40","77.96M","1.17%"
"03/24/2025","1,726.52","1,702.71","1,726.89","1,702.71","40.49M","1.73%"
"03/21/2025","1,697.11","1,696.29","1,698.32","1,690.38","118.16M","-0.34%"
"03/20/2025","1,702.82","1,700.79","1,707.51","1,689.89","39.38M","0.09%"
"03/19/2025","1,701.28","1,704.25","1,704.25","1,691.35","42.11M","-0.23%"
"03/18/2025","1,705.16","1,698.38","1,708.05","1,694.86","79.31M","0.53%"
"03/17/2025","1,696.10","1,692.95","1,700.53","1,685.42","22.35M","0.15%"
"03/14/2025","1,693.61","1,672.01","1,693.83","1,671.64","45.57M","1.33%"
"03/13/2025","1,671.35","1,665.28","1,671.50","1,658.53","52.45M","0.31%"
"03/12/2025","1,666.21","1,627.24","1,666.21","1,627.24","65.25M","2.58%"
"03/11/2025","1,624.34","1,622.15","1,635.95","1,622.15","45.34M","-0.22%"
"03/10/2025","1,627.94","1,629.89","1,632.51","1,619.42","51.19M","0.04%"
"03/07/2025","1,627.36","1,622.74","1,629.60","1,617.62","44.43M","0.11%"
"03/06/2025","1,625.54","1,631.57","1,644.30","1,618.32","43.26M","-0.30%"
"03/05/2025","1,630.35","1,606.52","1,630.60","1,606.52","116.39M","1.76%"
"03/04/2025","1,602.15","1,604.56","1,619.08","1,592.19","69.16M","-0.35%"
"02/28/2025","1,607.79","1,591.20","1,608.93","1,584.48","85.59M","0.62%"
"02/27/2025","1,597.85","1,591.75","1,599.13","1,581.01","29.74M","-0.14%"
"02/26/2025","1,600.17","1,598.85","1,606.02","1,596.55","25.22M","0.24%"
"02/25/2025","1,596.41","1,597.85","1,601.95","1,593.78","76.01M","-0.47%"
"02/24/2025","1,603.96","1,620.18","1,620.27","1,599.84","47.14M","-0.88%"
"02/21/2025","1,618.16","1,614.43","1,623.73","1,614.43","27.82M","0.04%"
"02/20/2025","1,617.56","1,607.14","1,618.24","1,604.39","23.41M","0.23%"
"02/19/2025","1,613.78","1,624.72","1,629.80","1,610.72","30.21M","-0.71%"
"02/18/2025","1,625.40","1,616.78","1,625.41","1,604.02","29.62M","0.64%"
