"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","2,021.69","1,985.32","2,135.29","1,948.51","789.16M","1.36%"
"07/01/2025","1,994.63","1,874.56","1,995.26","1,865.52","898.71M","6.78%"
"06/01/2025","1,868.02","1,829.65","1,894.70","1,777.93","682.14M","2.01%"
"05/01/2025","1,831.17","1,714.03","1,879.23","1,711.74","852.72M","7.83%"
"04/01/2025","1,698.19","1,690.18","1,723.57","1,455.08","818.32M","0.77%"
"03/01/2025","1,685.24","1,604.56","1,749.90","1,592.19","1.08B","4.82%"
"02/01/2025","1,607.79","1,529.47","1,629.80","1,505.48","687.91M","3.77%"
"01/01/2025","1,549.32","1,470.31","1,557.01","1,469.79","652.93M","5.42%"
"12/01/2024","1,469.67","1,399.30","1,470.44","1,399.30","558.45M","5.47%"
"11/01/2024","1,393.49","1,383.89","1,434.28","1,359.95","665.77M","0.78%"
"10/01/2024","1,382.68","1,454.35","1,459.12","1,377.23","717.17M","-4.77%"
"09/01/2024","1,451.90","1,432.78","1,474.67","1,405.18","485.70M","1.45%"
"08/01/2024","1,431.19","1,476.97","1,479.01","1,320.77","452.51M","-3.18%"
"07/01/2024","1,478.17","1,409.56","1,487.54","1,407.03","398.78M","5.26%"
"06/01/2024","1,404.26","1,436.80","1,472.44","1,395.06","490.31M","-1.93%"
"05/01/2024","1,431.84","1,447.13","1,505.35","1,431.53","523.15M","-1.15%"
"04/01/2024","1,448.48","1,417.78","1,462.68","1,357.30","564.88M","1.84%"
"03/01/2024","1,422.35","1,423.51","1,437.65","1,386.21","916.78M","-0.17%"
"02/01/2024","1,424.77","1,367.92","1,431.08","1,362.14","497.82M","4.19%"
"01/01/2024","1,367.41","1,296.45","1,378.10","1,296.45","442.63M","5.74%"
"12/01/2023","1,293.14","1,272.19","1,304.74","1,258.03","380.46M","1.41%"
"11/01/2023","1,275.13","1,195.38","1,275.41","1,188.10","939.26M","6.88%"
"10/01/2023","1,193.10","1,210.30","1,217.28","1,105.15","485.51M","-1.34%"
"09/01/2023","1,209.34","1,315.37","1,316.30","1,182.89","523.73M","-7.86%"
